character,Mac OS Roman,Windows-1252
Ä,80,C4
Å,81,C5
Ç,82,C7
É,83,C9
Ñ,84,D1
Ö,85,D6
Ü,86,DC
á,87,E1
à,88,E0
â,89,E2
ä,8A,E4
ã,8B,E3
å,8C,E5
ç,8D,E7
é,8E,E9
è,8F,E8
ê,90,EA
ë,91,EB
í,92,ED
ì,93,EC
î,94,EE
ï,95,EF
ñ,96,F1
ó,97,F3
ò,98,F2
ô,99,F4
ö,9A,F6
õ,9B,F5
ú,9C,FA
ù,9D,F9
û,9E,FB
ü,9F,FC
†,A0,86
°,A1,B0
¢,A2,A2
£,A3,A3
§,A4,A7
•,A5,95
¶,A6,B6
ß,A7,DF
®,A8,AE
©,A9,A9
™,AA,99
´,AB,B4
¨,AC,A8
≠,AD,
Æ,AE,C6
Ø,AF,D8
∞,B0,
±,B1,B1
≤,B2,
≥,B3,
¥,B4,A5
µ,B5,B5
∂,B6,
∑,B7,
∏,B8,
π,B9,
∫,BA,
ª,BB,AA
º,BC,BA
Ω,BD,
æ,BE,E6
ø,BF,F8
¿,C0,BF
¡,C1,A1
¬,C2,AC
√,C3,
ƒ,C4,83
≈,C5,
∆,C6,
«,C7,AB
»,C8,BB
…,C9,85
NBSP,CA,A0
À,CB,C0
Ã,CC,C3
Õ,CD,D5
Œ,CE,8C
œ,CF,9C
–,D0,96
—,D1,97
“,D2,93
”,D3,94
‘,D4,91
’,D5,92
÷,D6,F7
◊,D7,
ÿ,D8,FF
Ÿ,D9,9F
⁄,DA,
¤,DB,A4
‹,DC,8B
›,DD,9B
ﬁ,DE,
ﬂ,DF,
‡,E0,87
·,E1,B7
‚,E2,82
„,E3,84
‰,E4,89
Â,E5,C2
Ê,E6,CA
Á,E7,C1
Ë,E8,CB
È,E9,C8
Í,EA,CD
Î,EB,CE
Ï,EC,CF
Ì,ED,CC
Ó,EE,D3
Ô,EF,D4
,F0,
Ò,F1,D2
Ú,F2,DA
Û,F3,DB
Ù,F4,D9
ı,F5,
ˆ,F6,88
˜,F7,98
¯,F8,AF
˘,F9,
˙,FA,
˚,FB,
¸,FC,B8
˝,FD,
˛,FE,
ˇ,FF,
